predictions,actuals
iridaceae,iridaceae
effector's,effector's
tittery,tittery
photspectiosiosiosporical,photospectroscopical
unchangingness,unchangingness
nonvisiting,nonvisiting
airreogether,airfreighter
digitato-palmate,digitato-palmate
stirless,stirless
whelklike,whelklike
madreperl,madreperl
haaf,haaf
marinara,marinara
enteritidis,enteritidis
aciculated,aciculated
basaree,basaree
sphyraena,sphyraena
sayable,sayable
valero-,valero-
paralyze,paralyze
jacinth,jacinth
echini,echini
threskiornithidae,threskiornithidae
phosphonate,phosphonate
uncongestive,uncongestive
obit,obit
alexishafen,alexishafen
depictment,depictment
sphincterate,sphincterate
west-wrought,welsh-wrought
marshlike,marshlike
graplins,graplins
melodiously,melodiously
engrained,engrained
acroliths,acroliths
ballast-cleaning,ballast-cleaning
sniffly,sniffly
sandstones,sandstones
varick,varick
parochial,parochial
intellectualise,intellectualise
droseras,droseras
tonsillith,tonsillith
picotee,picotee
undespoiled,undespoiled
northeasters,northeasters
aldine,aldine
derogatively,derogatively
stonecutting,stonecutting
west-northesterly,west-northwesterly
macaronical,macaronical
glicine,glycine
mamurius,mamurius
embarge,embarge
acidroof,acidproof
barbellula,barbellula
spicers,spicers
scheller,scheller
vatter,vatter
passionwort,passionwort
intolerating,intolerating
dramseller,dramseller
thrangity,thrangity
phaeosporous,phaeosporous
unavowedly,unavowedly
northcountryman,northcountryman
albategnius,albategnius
delusory,delusory
squamously,squamously
well-locks,well-locked
malladrite,malladrite
godden,godden
magacycle,magacycle
eglateen,eglateen
actinometrical,actinometrical
bagattini,bagattini
snowlands,snowlands
safe-breaker,safe-breaker
vanzant,vanzant
paper-filled,paper-filled
infernible,infernible
dunbarton,dunbarton
tobaccood,tobaccowood
petronia,petronia
uncubically,uncubically
nonpliability,nonpliability
alcyones,alcyones
depthing,depthing
stem-bearing,stem-bearing
well-weaved,well-weaved
loria,loria
glance,glance
macrourid,macrourid
elymi,elymi
actinometers,actinometers
bactercopically,bacterioscopically
spear-pointed,spear-pointed
savoy,savoy
vaporised,vaporised
palis,palis
inscriptively,inscriptively
dtas,dtas
toxicate,toxicate
philathan,philathea
unegotistical,unegotistical
nonmiscible,nonmiscible
alada,alada
depletions,depletions
stockinged,stockinged
wielare,wielare
logistically,logistically
globula,globuloid
macrauchenio,macrauchenioid
elkhart,elkhart
acolapissa,acolapissa
back sirate,back sirate
spinstership,spinstership
scotch-tape,scotch-tape
vernixes,vernixes
paramyxovirus,paramyxovirus
ious,ious
electrophonic,electrophonic
ticketed,ticketed
phytozoa,phytozoa
undergoer,undergoer
nonropagdist,nonpropagandist
alcaeus,alcaeus
dianoialogy,dianoialogy
stereotropic,stereotropic
wheelabrated,wheelabrated
magnetograph,magnetograph
gum-lac,gum-lac
marquee,marquee
ermalinda,ermalinda
achigan,achigan
bargain-basement,bargain-basement
sparus,sparus
scanty,scanty
vasohypotonic,vasohypotonic
part-time,part-time
lahafia,iphagenia
effluvia,effluvia
too-dainty,too-dainty
pneumonophorous,pneumonophorous
undeteriorating,undeteriorating
oedemerid,oedemerid
agust,agust
devotees,devotees
stroil,stroil
well-transulated,well-translated
many-bleating,many-bleating
gristly,gristly
megaloglossia,megaloglossia
erscole,entocoele
acrogen,acrogen
bandeau,bandeau
springwurzel,springwurzel
self-complac,self-complacently
vaporiness,vaporiness
percheron,percheron
insobrief,insobriety
dreddy,dreddy
thyreoidectomy,thyreoidectomy
personilles,personifies
uncocks,uncocks
nonprivities,nonprivities
aircraft,aircraft
demander,demander
standardization,standardization
well-fielded,well-fielded
luminophore,luminophore
gloveress,gloveress
mapach,mapach
electro-motic,electro-osmotic
acainine,acraeinae
autohemotherapy,autohemotherapy
sour-tasted,sour-tasted
sandastra,sandastra
usableness,usableness
pallograph,pallograph
jauking,jauking
enalus,enalus
tricrotism,tricrotism
placeful,placeful
ungranted,ungranted
oenotrian,oenotrian
aktivist,aktivist
direct-mail,direct-mail
subclassities,subclassifies
whity-brown,whity-brown
magalonyx,magalonyx
hapteron,hapteron
metropolitical,metropolitical
etrusco-roman,etrusco-roman
actinometricy,actinometricy
barf,barf
stateliest,stateliest
self-assured,self-assured
vicinity,vicinity
pedometer,pedometer
jaspideous,jaspideous
emissarium,emissarium
thioindigo,thioindigo
podzolic,podzolic
unaverse,unaverse
omicron,omicron
alexandro,alexandro
dilambdod,dilambdodont
squamosotporal,squamosotemporal
well-valed,well-valeted
maulmain,maulmain
hammertoe,hammertoe
meritoriously,meritoriously
esquamate,esquamate
acutilingual,acutilingual
barbule,barbule
somnolences,somnolences
scarecrowy,scarecrowy
vacillates,vacillates
petrey,petrey
invent,invent
eireannarch,eireannarch
totalize,totalize
piki,piki
underling's,underling's
norroy,norroy
air-bound,air-bound
diapophyses,diapophyses
steerer,steerer
wellsburg,wellsburg
makefast,makefast
gradualistic,gradualistic
maroilles,maroilles
enwombing,enwombing
acknowledgeable,acknowledgeable
bandhook,bandhook
spankly,spankily
scansions,scansions
valkyrian,valkyrian
parenchymous,parenchymous
inklike,inklike
dominium,dominium
tide-ribbed,tide-ribbed
perryhall,perryhall
uncampassioned,uncampassioned
noncounterfeit,noncounterfeit
albanite,albanite
decisiveness,decisiveness
spitals,spitals
whickering,whickering
lub,lub
gismondine,gismondine
mahagony,mahagony
ecuelling,ecuelling
adderbolt,adderbolt
auochloride,aurochloride
smug,smug
sabbatine,sabbatine
valure,valure
paleochloriosist,paleochorologist
intine,intine
earlobes,earlobes
toleware,toleware
plankage,plankage
undelineated,undelineated
objected,objected
agromyzidae,agromyzidae
designating,designating
stockmen,stockmen
wesla,wesla
malakoff,malakoff
grapery,grapery
mayvins,mayvins
enamel,enamel
acrobats,acrobats
back-pal,back-palm
spectrohelioscopic,spectrohelioscopic
scold,scold
uvella,uvella
penner,penner
inerrelates,inerrelates
edible,edible
thum-rophe,thumb-rope
phyeyerom,phyeochrom
undepleted,undepleted
nuzzler,nuzzler
albuminurophobia,albuminurophobia
deuterostomata,deuterostomata
stomachy,stomachy
whinehat,whinehat
maestra,maestra
gounod,gounod
manwards,manwards
enshrinement,enshrinement
adenocarcinoma,adenocarcinoma
baptlsta,baptlsta
spital,spital
sawer,sawer
venged,venged
patrolwomen,patrolwomen
incarnalizing,incarnalizing
dlcu,dlcu
thought-challing,thought-challenging
phacolite,phacolite
unblameworthy,unblameworthy
nonmoveable,nonmoveable
aircoaches,aircoaches
dandering,dandering
speary,speary
what-dye-it,what-d'ye-call-it
likeness,likeness
gesticulating,gesticulating
lucelle,lucelle
dyothelitism,dyothelitism
actable,actable
babiism,babiism
skyugle,skyugle
rubricated,rubricated
urethrovesical,urethrovesical
paper-cutting,paper-cutting
isotheres,isotheres
ecumenicism,ecumenicism
toggeries,toggeries
pithiness,pithiness
underbalance,underbalance
oestuses,oestruses
ajani,ajani
devoteeism,devoteeism
stick-lac,stick-lac
wha,wha
maravi,maravi
haemat-,haemat-
melling,melling
eniopeus,eniopeus
acosmism,acosmism
bacillicidal,bacillicidal
spinescent,spinescent
scalps,scalps
vestalship,vestalship
pedigerous,pedigerous
irenical,irenical
eighty-five,eighty-five
topmostly,topmostly
placidamente,placidamente
underbrim,underbrim
novelivelle,novelivelle
alchemic,alchemic
dictatorialism,dictatorialism
strainedness,strainedness
wheretill,wheretill
man-sized,man-sized
gragarine,gragarine
maunche,maunche
enman,enmanche
acyanopsia,acyanopsia
bahoe,bahoe
spiritous,spiritous
scrap,scrap
ventilations,ventilations
peduncled,peduncled
inorthography,inorthography
dislustered,dislustered 
topotactic,topotactic
planispheric,planispheric
underivedly,underivedly
north-northeastwards,north-northeastwards
aimo,aimo
davidsonite,davidsonite
straight-lacedly,straight-lacedly
weltanschauung,weltanschauung
loriot,loriot
gilder,gilder
malarias,malarias
drifter,drifter
acrab,acrab
baikie,baikie
spokesperson,spokesperson
scutal,scutal
va,va
pea-owered,pea-flowered
jerries,jerries
elmmott,elmmott
tortrix,tortrix
ieruny,pinny
unconsolably,unconsolably
one-handedness,one-handedness
alkalies,alkalies
diarrhoetic,diarrhoetic
stemma,stemma
weer,weer
meal's,meal's
hackneys,hackneys
metretes,metretes
epopee,epopee
actinomya,actinomycoma
beak,beak
spear-famed,spear-famed
scaphopod,scaphopod
uroscopy,uroscopy
pean,pean
interiorism,interiorism
drudged,drudged
tochered,tochered
perivertebral,perivertebral
undertenure,undertenure
nondivisional,nondivisional
alane,alane
dentilingual,dentilingual
ssa,ssa
westphal,westphal
longicone,longicone
gold-star,gold-star
macrosomatia,macrosomatia
ekatantalum,ekatantalum
acyclic,acyclic
babblative,babblative
sodioaluminic,sodioaluminic
sadducean,sadducean
valetudinarist,valetudinarist
overpuissantly,overpuissantly
to-ann,jo-ann
efform,efform
tide-covered,tide-covered
plaisanterie,plaisanterie
uncomprehensiveness,uncomprehensiveness
odonates,odonates
alberg,alberg
desserverse,deserver
sterings,sterlings
well-valed,well-valeted
medell,medell
haemoblast,haemoblast
mesole,mesole
epilepsy,epilepsy
actualising,actualising
backsping,backsping
spawns,spawns
sampalo,sampaloc
uteroplacental,uteroplacental
penny-pinching,penny-pinching
inswinger,inswinger
dreeda,dreeda
tinnier,tinnier
perplexer,perplexer
undergraduette,undergraduette
nonsine,nonsine
aloholy,alcoholometry
deep-browed,deep-browed
stream-laundered,stream-laundered
westleigh,westleigh
makedhonia,makedhonia
gradieds,gradients
marriageableness,marriageableness
elementariness,elementariness
acroteleutic,acroteleutic
bangling,bangling
sorento,sorento
salability,salability
veldtschoen,veldtschoen
panspllike,pansylike
jacques,jacques
edmead,edmead
toxaemias,toxaemias
pizor,pizor
undiffusible,undiffusible
oinked,oinked
akhrot,akhrot
detachment's,detachment's
strafe,strafe
whiplike,whiplike
mayathan,mayathan
guanophore,guanophore
mesembryantum,mesembryanthemum
enfacing,enfacing
acropathology,acropathology
balloen,balloen
spotted-basted,spotted-breasted
scleroses,scleroses
vectorcardiographic,vectorcardiographic
penetratively,penetratively
inrew,inmew
dragle-tiled,draggle-tailed
titalites,titanites
pentaphylacaceous,pentaphylacaceous
undeclining,undeclining
nonmotivational,nonmotivational
albronze,albronze
delphically,delphically
stangs,stangs
wfpc,wfpc
ltp,ltp
gloeosporiose,gloeosporiose
malfeasances,malfeasances
electrodiagnoses,electrodiagnoses
adder-meal,adder's-meat
barrels,barrels
seething,seething
