predictions,actuals,location
all,all,data/words/a02/a02-050/a02-050-04-01.png
information,information,data/words/k04/k04-022/k04-022-06-00.png
she,she,data/words/r06/r06-103/r06-103-03-07.png
Nick,Wicki,data/words/c02/c02-030/c02-030-01-09.png
told,told,data/words/g06/g06-018p/g06-018p-03-01.png
he,he,data/words/c03/c03-096e/c03-096e-04-09.png
as,as,data/words/d06/d06-050/d06-050-02-09.png
the,the,data/words/a03/a03-037/a03-037-05-07.png
Vema,VIENNA,data/words/a04/a04-039/a04-039-00-01.png
to,to,data/words/g06/g06-042h/g06-042h-06-01.png
will,with,data/words/n04/n04-000/n04-000-03-03.png
addicted,addicted,data/words/h02/h02-035/h02-035-04-02.png
",",",",data/words/h04/h04-071/h04-071-04-08.png
on,on,data/words/a06/a06-004/a06-004-06-08.png
est,est,data/words/h04/h04-000/h04-000-08-00.png
ments,ments,data/words/h07/h07-051b/h07-051b-07-00.png
that,that,data/words/a04/a04-050/a04-050-00-03.png
to,to,data/words/a06/a06-044/a06-044-06-00.png
of,of,data/words/p03/p03-023/p03-023-03-02.png
doctor,doctor,data/words/g06/g06-045d/g06-045d-04-09.png
I,3,data/words/e07/e07-000/e07-000-02-06.png
for,for,data/words/g01/g01-008/g01-008-02-11.png
that,that,data/words/f01/f01-081/f01-081-03-07.png
was,was,data/words/g01/g01-012/g01-012-02-05.png
will,will,data/words/g06/g06-031o/g06-031o-05-04.png
have,Leave,data/words/l04/l04-052/l04-052-03-07.png
indocent,independent,data/words/c03/c03-084d/c03-084d-04-08.png
tone,None,data/words/g06/g06-037o/g06-037o-08-02.png
Byron,Byron,data/words/g07/g07-042/g07-042-03-09.png
.,.,data/words/a05/a05-108/a05-108-01-08.png
And,And,data/words/r02/r02-127/r02-127-04-04.png
Compons,Commons,data/words/g06/g06-031k/g06-031k-05-04.png
.,.,data/words/p01/p01-147/p01-147-04-02.png
and,and,data/words/a02/a02-106/a02-106-00-02.png
.,.,data/words/a03/a03-089/a03-089-03-01.png
could,cold,data/words/k07/k07-146/k07-146-08-01.png
Space,Space,data/words/b04/b04-202/b04-202-07-03.png
Use,Use,data/words/e04/e04-109/e04-109-00-00.png
own,own,data/words/e01/e01-029/e01-029-07-01.png
it,it,data/words/b05/b05-045/b05-045-04-01.png
In,lay,data/words/n06/n06-111/n06-111-07-02.png
health,healthiest,data/words/d06/d06-050/d06-050-04-05.png
was,was,data/words/l07/l07-190/l07-190-02-07.png
faviour,favour,data/words/a01/a01-007u/a01-007u-02-03.png
