predictions,actuals,location
al,all,data/words/a02/a02-050/a02-050-04-01.png
information,information,data/words/k04/k04-022/k04-022-06-00.png
she,she,data/words/r06/r06-103/r06-103-03-07.png
Nick,Wicki,data/words/c02/c02-030/c02-030-01-09.png
told,told,data/words/g06/g06-018p/g06-018p-03-01.png
he,he,data/words/c03/c03-096e/c03-096e-04-09.png
as,as,data/words/d06/d06-050/d06-050-02-09.png
the,the,data/words/a03/a03-037/a03-037-05-07.png
Vem,VIENNA,data/words/a04/a04-039/a04-039-00-01.png
to,to,data/words/g06/g06-042h/g06-042h-06-01.png
with,with,data/words/n04/n04-000/n04-000-03-03.png
added,addicted,data/words/h02/h02-035/h02-035-04-02.png
.,",",data/words/h04/h04-071/h04-071-04-08.png
an,on,data/words/a06/a06-004/a06-004-06-08.png
east,est,data/words/h04/h04-000/h04-000-08-00.png
m,ments,data/words/h07/h07-051b/h07-051b-07-00.png
that,that,data/words/a04/a04-050/a04-050-00-03.png
to,to,data/words/a06/a06-044/a06-044-06-00.png
of,of,data/words/p03/p03-023/p03-023-03-02.png
doctor,doctor,data/words/g06/g06-045d/g06-045d-04-09.png
is,3,data/words/e07/e07-000/e07-000-02-06.png
for,for,data/words/g01/g01-008/g01-008-02-11.png
that,that,data/words/f01/f01-081/f01-081-03-07.png
was,was,data/words/g01/g01-012/g01-012-02-05.png
will,will,data/words/g06/g06-031o/g06-031o-05-04.png
there,Leave,data/words/l04/l04-052/l04-052-03-07.png
integ,independent,data/words/c03/c03-084d/c03-084d-04-08.png
more,None,data/words/g06/g06-037o/g06-037o-08-02.png
Byyou,Byron,data/words/g07/g07-042/g07-042-03-09.png
.,.,data/words/a05/a05-108/a05-108-01-08.png
And,And,data/words/r02/r02-127/r02-127-04-04.png
comom,Commons,data/words/g06/g06-031k/g06-031k-05-04.png
.,.,data/words/p01/p01-147/p01-147-04-02.png
and,and,data/words/a02/a02-106/a02-106-00-02.png
.,.,data/words/a03/a03-089/a03-089-03-01.png
could,cold,data/words/k07/k07-146/k07-146-08-01.png
place,Space,data/words/b04/b04-202/b04-202-07-03.png
the,Use,data/words/e04/e04-109/e04-109-00-00.png
can,own,data/words/e01/e01-029/e01-029-07-01.png
it,it,data/words/b05/b05-045/b05-045-04-01.png
only,lay,data/words/n06/n06-111/n06-111-07-02.png
health,healthiest,data/words/d06/d06-050/d06-050-04-05.png
was,was,data/words/l07/l07-190/l07-190-02-07.png
fann,favour,data/words/a01/a01-007u/a01-007u-02-03.png
of,of,data/words/l07/l07-052/l07-052-02-06.png
G.,grim,data/words/r06/r06-053/r06-053-00-01.png
of,of,data/words/g06/g06-031f/g06-031f-02-11.png
eycharge,exchange,data/words/j04/j04-094/j04-094-05-00.png
used,roused,data/words/p06/p06-248/p06-248-01-06.png
printed,printed,data/words/d01/d01-056/d01-056-03-00.png
of,of,data/words/a04/a04-059/a04-059-05-06.png
and,and,data/words/m04/m04-093/m04-093-02-03.png
the,the,data/words/a04/a04-039/a04-039-09-00.png
the,to,data/words/c03/c03-007b/c03-007b-05-07.png
.,.,data/words/l04/l04-106/l04-106-04-03.png
be,be,data/words/a04/a04-031/a04-031-04-06.png
fable,favourable,data/words/g06/g06-011f/g06-011f-06-05.png
earth,lavish,data/words/c03/c03-094c/c03-094c-08-00.png
bl,block,data/words/m04/m04-251/m04-251-01-06.png
a,I,data/words/m01/m01-000/m01-000-05-02.png
a,",",data/words/d05/d05-030/d05-030-07-04.png
sitation,situation,data/words/a04/a04-019/a04-019-05-00.png
of,of,data/words/n06/n06-182/n06-182-00-02.png
more,more,data/words/m04/m04-072/m04-072-02-08.png
wh,make,data/words/l04/l04-159/l04-159-03-08.png
cens,Census,data/words/h01/h01-007/h01-007-00-05.png
which,woman,data/words/f04/f04-071/f04-071-01-04.png
per,personal,data/words/m02/m02-102/m02-102-05-04.png
mach,mammoth,data/words/f07/f07-019b/f07-019b-02-00.png
",",",",data/words/c06/c06-100/c06-100-04-07.png
",",",",data/words/c03/c03-096e/c03-096e-06-03.png
you,you,data/words/l04/l04-118/l04-118-02-03.png
wrote,waste,data/words/k07/k07-185/k07-185-05-04.png
a,A,data/words/b01/b01-113/b01-113-04-03.png
even,Even,data/words/b03/b03-109/b03-109-04-00.png
probably,probably,data/words/a05/a05-017/a05-017-09-02.png
was,was,data/words/r06/r06-035/r06-035-04-03.png
peppples,peoples,data/words/f07/f07-046a/f07-046a-03-00.png
a,a,data/words/l07/l07-187/l07-187-07-03.png
if,it,data/words/g06/g06-011o/g06-011o-01-09.png
the,fine,data/words/g06/g06-011k/g06-011k-10-01.png
comment,comment,data/words/d07/d07-085/d07-085-07-02.png
her,her,data/words/c03/c03-021b/c03-021b-04-08.png
the,the,data/words/l04/l04-118/l04-118-06-06.png
ppr,priest,data/words/g06/g06-011o/g06-011o-07-05.png
had,load,data/words/g07/g07-018a/g07-018a-02-08.png
plolly,quickly,data/words/p02/p02-101/p02-101-06-05.png
enerogen,energetic,data/words/g06/g06-050c/g06-050c-04-07.png
then,their,data/words/b05/b05-083/b05-083-07-01.png
.,.,data/words/g06/g06-050r/g06-050r-03-01.png
is,is,data/words/e06/e06-006/e06-006-04-02.png
a,a,data/words/j06/j06-018/j06-018-07-05.png
the,he,data/words/g06/g06-011f/g06-011f-03-10.png
the,All,data/words/h07/h07-040b/h07-040b-00-00.png
a,a,data/words/p02/p02-076/p02-076-06-06.png
erangle,example,data/words/f01/f01-081/f01-081-02-03.png
 ensure,ensure,data/words/h02/h02-022/h02-022-01-09.png
told,told,data/words/a01/a01-113/a01-113-00-01.png
",",:,data/words/g07/g07-084/g07-084-04-05.png
